Date,Price,Aporte,Aporte Neto,Titulos Comprados,Tit Acumulados,Valor Neto
01/01/2000,"1,394.50"," $5,000.00 "," $4,610.000 ",3.3058,3.3058," $4,610.00 "
01/02/2000,"1,366.40", $-   , $-    ,0.0000,3.3058," $4,517.11 "
01/03/2000,"1,498.60", $-   , $-    ,0.0000,3.3058," $4,954.14 "
01/04/2000,"1,452.40", $-   , $-    ,0.0000,3.3058," $4,801.41 "
01/05/2000,"1,420.60", $-   , $-    ,0.0000,3.3058," $4,696.28 "
01/06/2000,"1,454.60", $-   , $-    ,0.0000,3.3058," $4,808.68 "
01/07/2000,"1,430.80", $-   , $-    ,0.0000,3.3058," $4,730.00 "
01/08/2000,"1,517.70", $-   , $-    ,0.0000,3.3058," $5,017.28 "
01/09/2000,"1,436.50", $-   , $-    ,0.0000,3.3058," $4,748.85 "
01/10/2000,"1,429.40", $-   , $-    ,0.0000,3.3058," $4,725.37 "
01/11/2000,"1,315.00", $-   , $-    ,0.0000,3.3058," $4,347.19 "
01/12/2000,"1,320.30", $-   , $-    ,0.0000,3.3058," $4,364.71 "
01/01/2001,"1,366.00", $-   , $-    ,0.0000,3.3058," $4,515.78 "
01/02/2001,"1,239.90", $-   , $-    ,0.0000,3.3058," $4,098.92 "
01/03/2001,"1,160.30", $-   , $-    ,0.0000,3.3058," $3,835.77 "
01/04/2001,"1,249.50", $-   , $-    ,0.0000,3.3058," $4,130.65 "
01/05/2001,"1,255.80", $-   , $-    ,0.0000,3.3058," $4,151.48 "
01/06/2001,"1,224.40", $-   , $-    ,0.0000,3.3058," $4,047.68 "
01/07/2001,"1,211.20", $-   , $-    ,0.0000,3.3058," $4,004.04 "
01/08/2001,"1,133.60", $-   , $-    ,0.0000,3.3058," $3,747.51 "
01/09/2001,"1,040.90", $-   , $-    ,0.0000,3.3058," $3,441.05 "
01/10/2001,"1,059.80", $-   , $-    ,0.0000,3.3058," $3,503.53 "
01/11/2001,"1,139.50", $-   , $-    ,0.0000,3.3058," $3,767.01 "
01/12/2001,"1,148.10", $-   , $-    ,0.0000,3.3058," $3,795.44 "
01/01/2002,"1,130.20", $-   , $-    ,0.0000,3.3058," $3,736.27 "
01/02/2002,"1,106.70", $-   , $-    ,0.0000,3.3058," $3,658.58 "
01/03/2002,"1,147.40", $-   , $-    ,0.0000,3.3058," $3,793.13 "
01/04/2002,"1,076.90", $-   , $-    ,0.0000,3.3058," $3,560.06 "
01/05/2002,"1,067.10", $-   , $-    ,0.0000,3.3058," $3,527.67 "
01/06/2002,989.8, $-   , $-    ,0.0000,3.3058," $3,272.12 "
01/07/2002,911.6, $-   , $-    ,0.0000,3.3058," $3,013.61 "
01/08/2002,916.1, $-   , $-    ,0.0000,3.3058," $3,028.48 "
01/09/2002,815.3, $-   , $-    ,0.0000,3.3058," $2,695.25 "
01/10/2002,885.8, $-   , $-    ,0.0000,3.3058," $2,928.32 "
01/11/2002,936.3, $-   , $-    ,0.0000,3.3058," $3,095.26 "
01/12/2002,879.8, $-   , $-    ,0.0000,3.3058," $2,908.48 "
01/01/2003,855.7, $-   , $-    ,0.0000,3.3058," $2,828.81 "
01/02/2003,841.1, $-   , $-    ,0.0000,3.3058," $2,780.55 "
01/03/2003,848.2, $-   , $-    ,0.0000,3.3058," $2,804.02 "
01/04/2003,916.9, $-   , $-    ,0.0000,3.3058," $3,031.13 "
01/05/2003,963.6, $-   , $-    ,0.0000,3.3058," $3,185.51 "
01/06/2003,974.5, $-   , $-    ,0.0000,3.3058," $3,221.55 "
01/07/2003,990.3, $-   , $-    ,0.0000,3.3058," $3,273.78 "
01/08/2003,"1,008.00", $-   , $-    ,0.0000,3.3058," $3,332.29 "
01/09/2003,996, $-   , $-    ,0.0000,3.3058," $3,292.62 "
01/10/2003,"1,050.70", $-   , $-    ,0.0000,3.3058," $3,473.45 "
01/11/2003,"1,058.20", $-   , $-    ,0.0000,3.3058," $3,498.24 "
01/12/2003,"1,111.90", $-   , $-    ,0.0000,3.3058," $3,675.77 "
01/01/2004,"1,131.10", $-   , $-    ,0.0000,3.3058," $3,739.24 "
01/02/2004,"1,144.90", $-   , $-    ,0.0000,3.3058," $3,784.86 "
01/03/2004,"1,126.20", $-   , $-    ,0.0000,3.3058," $3,723.04 "
01/04/2004,"1,107.30", $-   , $-    ,0.0000,3.3058," $3,660.56 "
01/05/2004,"1,120.70", $-   , $-    ,0.0000,3.3058," $3,704.86 "
01/06/2004,"1,140.80", $-   , $-    ,0.0000,3.3058," $3,771.31 "
01/07/2004,"1,101.70", $-   , $-    ,0.0000,3.3058," $3,642.05 "
01/08/2004,"1,104.20", $-   , $-    ,0.0000,3.3058," $3,650.31 "
01/09/2004,"1,114.60", $-   , $-    ,0.0000,3.3058," $3,684.69 "
