Date,Price,Aporte,Aporte Neto,Titulos Comprados,Tit Acumulados,Valor Neto
01/01/2012,"1,312.40", $500.00 , $128.50 ,0.0979,0.0979, $128.50 
01/02/2012,"1,365.70", $500.00 , $153.50 ,0.1124,0.2103, $287.22 
01/03/2012,"1,408.50", $500.00 , $153.50 ,0.1090,0.3193, $449.72 
01/04/2012,"1,397.90", $500.00 , $153.50 ,0.1098,0.4291, $599.84 
01/05/2012,"1,310.30", $500.00 , $153.50 ,0.1171,0.5462, $715.75 
01/06/2012,"1,362.20", $500.00 , $153.50 ,0.1127,0.6589, $897.60 
01/07/2012,"1,379.30", $500.00 , $153.50 ,0.1113,0.7702," $1,062.36 "
01/08/2012,"1,406.60", $500.00 , $153.50 ,0.1091,0.8793," $1,236.89 "
01/09/2012,"1,440.70", $500.00 , $153.50 ,0.1065,0.9859," $1,420.38 "
01/10/2012,"1,412.20", $500.00 , $153.50 ,0.1087,1.0946," $1,545.78 "
01/11/2012,"1,416.20", $500.00 , $153.50 ,0.1084,1.2030," $1,703.66 "
01/12/2012,"1,426.20", $500.00 , $153.50 ,0.1076,1.3106," $1,869.19 "
01/01/2013,"1,498.10", $500.00 , $413.35 ,0.2759,1.5865," $2,376.77 "
01/02/2013,"1,514.70", $500.00 , $413.35 ,0.2729,1.8594," $2,816.46 "
01/03/2013,"1,569.20", $500.00 , $413.35 ,0.2634,2.1228," $3,331.14 "
01/04/2013,"1,597.60", $500.00 , $413.35 ,0.2587,2.3816," $3,804.78 "
01/05/2013,"1,630.70", $500.00 , $413.35 ,0.2535,2.6350," $4,296.96 "
01/06/2013,"1,606.30", $500.00 , $413.35 ,0.2573,2.8924," $4,646.02 "
01/07/2013,"1,685.70", $500.00 , $413.35 ,0.2452,3.1376," $5,289.02 "
01/08/2013,"1,633.00", $500.00 , $413.35 ,0.2531,3.3907," $5,537.02 "
01/09/2013,"1,681.50", $500.00 , $413.35 ,0.2458,3.6365," $6,114.82 "
01/10/2013,"1,756.50", $500.00 , $413.35 ,0.2353,3.8719," $6,800.91 "
01/11/2013,"1,805.80", $500.00 , $413.35 ,0.2289,4.1008," $7,405.14 "
01/12/2013,"1,848.40", $500.00 , $413.35 ,0.2236,4.3244," $7,993.18 "
01/01/2014,"1,782.60", $500.00 , $500.00 ,0.2805,4.6049," $8,208.64 "
01/02/2014,"1,859.45", $500.00 , $500.00 ,0.2689,4.8738," $9,062.52 "
01/03/2014,"1,872.34", $500.00 , $500.00 ,0.2670,5.1408," $9,625.35 "
01/04/2014,"1,883.95", $500.00 , $500.00 ,0.2654,5.4062," $10,185.03 "
01/05/2014,"1,923.57", $500.00 , $500.00 ,0.2599,5.6661," $10,899.23 "
01/06/2014,"1,960.23", $500.00 , $500.00 ,0.2551,5.9212," $11,606.95 "
01/07/2014,"1,930.67", $500.00 , $500.00 ,0.2590,6.1802," $11,931.92 "
01/08/2014,"2,003.37", $500.00 , $500.00 ,0.2496,6.4298," $12,881.22 "
01/09/2014,"1,972.29", $500.00 , $500.00 ,0.2535,6.6833," $13,181.38 "
01/10/2014,"2,018.05", $500.00 , $500.00 ,0.2478,6.9311," $13,987.21 "
01/11/2014,"2,067.56", $500.00 , $500.00 ,0.2418,7.1729," $14,830.36 "
01/12/2014,"2,058.90", $500.00 , $500.00 ,0.2428,7.4157," $15,268.25 "
01/01/2015,"1,994.99", $500.00 , $500.00 ,0.2506,7.6664," $15,294.31 "
01/02/2015,"2,104.50", $500.00 , $500.00 ,0.2376,7.9039," $16,633.85 "
01/03/2015,"2,067.89", $500.00 , $500.00 ,0.2418,8.1457," $16,844.49 "
01/04/2015,"2,085.51", $500.00 , $500.00 ,0.2397,8.3855," $17,488.01 "
01/05/2015,"2,107.39", $500.00 , $500.00 ,0.2373,8.6227," $18,171.49 "
01/06/2015,"2,063.11", $500.00 , $500.00 ,0.2424,8.8651," $18,289.67 "
01/07/2015,"2,103.84", $500.00 , $500.00 ,0.2377,9.1028," $19,150.75 "
01/08/2015,"1,972.18", $500.00 , $500.00 ,0.2535,9.3563," $18,452.28 "
01/09/2015,"1,920.03", $500.00 , $500.00 ,0.2604,9.6167," $18,464.35 "
01/10/2015,"2,079.36", $500.00 , $500.00 ,0.2405,9.8572," $20,496.58 "
01/11/2015,"2,080.41", $500.00 , $500.00 ,0.2403,10.0975," $21,006.93 "
01/12/2015,"2,043.94", $500.00 , $500.00 ,0.2446,10.3421," $21,138.67 "
01/01/2016,"1,940.24", $500.00 , $500.00 ,0.2577,10.5998," $20,566.19 "
01/02/2016,"1,932.23", $500.00 , $500.00 ,0.2588,10.8586," $20,981.29 "
01/03/2016,"2,059.74", $500.00 , $500.00 ,0.2427,11.1013," $22,865.87 "
01/04/2016,"2,065.30", $500.00 , $500.00 ,0.2421,11.3434," $23,427.59 "
01/05/2016,"2,096.96", $500.00 , $500.00 ,0.2384,11.5819," $24,286.72 "
01/06/2016,"2,098.86", $500.00 , $500.00 ,0.2382,11.8201," $24,808.73 "
01/07/2016,"2,173.60", $500.00 , $500.00 ,0.2300,12.0501," $26,192.16 "
01/08/2016,"2,170.95", $500.00 , $500.00 ,0.2303,12.2804," $26,660.23 "
01/09/2016,"2,168.27", $500.00 , $500.00 ,0.2306,12.5110," $27,127.32 "
01/10/2016,"2,126.15", $500.00 , $500.00 ,0.2352,12.7462," $27,100.35 "
01/11/2016,"2,198.81", $500.00 , $500.00 ,0.2274,12.9736," $28,526.49 "
01/12/2016,"2,238.83", $500.00 , $500.00 ,0.2233,13.1969," $29,545.70 "
01/01/2017,"2,278.87", $500.00 , $500.00 ,0.2194,13.4163," $30,574.10 "
01/02/2017,"2,363.64", $500.00 , $500.00 ,0.2115,13.6279," $32,211.41 "
01/03/2017,"2,362.72", $500.00 , $500.00 ,0.2116,13.8395," $32,698.87 "
01/04/2017,"2,384.20", $500.00 , $500.00 ,0.2097,14.0492," $33,496.14 "
01/05/2017,"2,411.80", $500.00 , $500.00 ,0.2073,14.2565," $34,383.90 "
01/06/2017,"2,423.41", $500.00 , $500.00 ,0.2063,14.4629," $35,049.42 "
01/07/2017,"2,470.30", $500.00 , $500.00 ,0.2024,14.6653," $36,227.58 "
01/08/2017,"2,471.65", $500.00 , $500.00 ,0.2023,14.8675," $36,747.38 "
01/09/2017,"2,519.36", $500.00 , $500.00 ,0.1985,15.0660," $37,956.71 "
01/10/2017,"2,575.26", $500.00 , $500.00 ,0.1942,15.2602," $39,298.90 "
01/11/2017,"2,647.58", $500.00 , $500.00 ,0.1889,15.4490," $40,902.51 "
01/12/2017,"2,673.61", $500.00 , $500.00 ,0.1870,15.6360," $41,804.65 "
01/01/2018,"2,823.81", $500.00 , $500.00 ,0.1771,15.8131," $44,653.18 "
01/02/2018,"2,713.83", $500.00 , $500.00 ,0.1842,15.9973," $43,414.06 "
01/03/2018,"2,640.87", $500.00 , $500.00 ,0.1893,16.1867," $42,746.89 "
01/04/2018,"2,648.05", $500.00 , $500.00 ,0.1888,16.3755," $43,363.11 "
01/05/2018,"2,705.27", $500.00 , $500.00 ,0.1848,16.5603," $44,800.12 "
01/06/2018,"2,718.37", $500.00 , $500.00 ,0.1839,16.7442," $45,517.06 "
01/07/2018,"2,816.29", $500.00 , $500.00 ,0.1775,16.9218," $47,656.66 "
01/08/2018,"2,901.52", $500.00 , $500.00 ,0.1723,17.0941," $49,598.90 "
01/09/2018,"2,913.98", $500.00 , $500.00 ,0.1716,17.2657," $50,311.89 "
01/10/2018,"2,711.74", $500.00 , $500.00 ,0.1844,17.4501," $47,320.08 "
01/11/2018,"2,760.17", $500.00 , $500.00 ,0.1811,17.6312," $48,665.19 "
