Date,Price,Aporte,Aporte Neto,Titulos Comprados,Tit Acumulados,Valor Neto,,,,
01/01/2011,"1,286.10", $500.00 , $103.75 ,0.0807,0.0807, $103.75 ,,,,
01/02/2011,"1,327.20", $500.00 , $128.75 ,0.0970,0.1777, $235.82 ,,,,
01/03/2011,"1,325.80", $500.00 , $128.75 ,0.0971,0.2748, $364.32 ,,,,
01/04/2011,"1,363.60", $500.00 , $128.75 ,0.0944,0.3692, $503.45 ,,,,
01/05/2011,"1,345.20", $500.00 , $128.75 ,0.0957,0.4649, $625.41 ,,,,
01/06/2011,"1,320.60", $500.00 , $128.75 ,0.0975,0.5624, $742.72 ,,,,
01/07/2011,"1,292.30", $500.00 , $128.75 ,0.0996,0.6620, $855.56 ,,,,
01/08/2011,"1,218.90", $500.00 , $128.75 ,0.1056,0.7677, $935.71 ,,,,
01/09/2011,"1,131.40", $500.00 , $128.75 ,0.1138,0.8815, $997.29 ,,,,
01/10/2011,"1,253.30", $500.00 , $128.75 ,0.1027,0.9842," $1,233.49 ",,,,
01/11/2011,"1,247.00", $500.00 , $128.75 ,0.1032,1.0874," $1,356.04 ",,,,
01/12/2011,"1,257.60", $500.00 , $128.75 ,0.1024,1.1898," $1,496.32 ",,,,
01/01/2012,"1,312.40", $500.00 , $407.20 ,0.3103,1.5001," $1,968.72 ",,,,
01/02/2012,"1,365.70", $500.00 , $407.20 ,0.2982,1.7983," $2,455.88 ",,,,
01/03/2012,"1,408.50", $500.00 , $407.20 ,0.2891,2.0874," $2,940.04 ",,,,
01/04/2012,"1,397.90", $500.00 , $407.20 ,0.2913,2.3787," $3,325.12 ",,,,
01/05/2012,"1,310.30", $500.00 , $407.20 ,0.3108,2.6894," $3,523.95 ",,,,
01/06/2012,"1,362.20", $500.00 , $407.20 ,0.2989,2.9883," $4,070.73 ",,,,
01/07/2012,"1,379.30", $500.00 , $407.20 ,0.2952,3.2836," $4,529.03 ",,,,
01/08/2012,"1,406.60", $500.00 , $407.20 ,0.2895,3.5731," $5,025.87 ",,,,
01/09/2012,"1,440.70", $500.00 , $407.20 ,0.2826,3.8557," $5,554.91 ",,,,
01/10/2012,"1,412.20", $500.00 , $407.20 ,0.2883,4.1440," $5,852.22 ",,,,
01/11/2012,"1,416.20", $500.00 , $407.20 ,0.2875,4.4316," $6,276.00 ",,,,
01/12/2012,"1,426.20", $500.00 , $407.20 ,0.2855,4.7171," $6,727.51 ",,,,
01/01/2013,"1,498.10", $500.00 , $500.00 ,0.3338,5.0508," $7,566.67 ",,,,
01/02/2013,"1,514.70", $500.00 , $500.00 ,0.3301,5.3809," $8,150.52 ",,,,
01/03/2013,"1,569.20", $500.00 , $500.00 ,0.3186,5.6996," $8,943.78 ",,,,
01/04/2013,"1,597.60", $500.00 , $500.00 ,0.3130,6.0125," $9,605.65 ",,,,
01/05/2013,"1,630.70", $500.00 , $500.00 ,0.3066,6.3192," $10,304.66 ",,,,
01/06/2013,"1,606.30", $500.00 , $500.00 ,0.3113,6.6304," $10,650.48 ",,,,
01/07/2013,"1,685.70", $500.00 , $500.00 ,0.2966,6.9271," $11,676.93 ",,,,
01/08/2013,"1,633.00", $500.00 , $500.00 ,0.3062,7.2332," $11,811.88 ",,,,
01/09/2013,"1,681.50", $500.00 , $500.00 ,0.2974,7.5306," $12,662.69 ",,,,
01/10/2013,"1,756.50", $500.00 , $500.00 ,0.2847,7.8152," $13,727.48 ",,,,
01/11/2013,"1,805.80", $500.00 , $500.00 ,0.2769,8.0921," $14,612.77 ",,,,
01/12/2013,"1,848.40", $500.00 , $500.00 ,0.2705,8.3626," $15,457.50 ",,,,
01/01/2014,"1,782.60", $500.00 , $500.00 ,0.2805,8.6431," $15,407.24 ",,,,
01/02/2014,"1,859.45", $500.00 , $500.00 ,0.2689,8.9120," $16,571.46 ",,,,
01/03/2014,"1,872.34", $500.00 , $500.00 ,0.2670,9.1791," $17,186.34 ",,,,
01/04/2014,"1,883.95", $500.00 , $500.00 ,0.2654,9.4445," $17,792.91 ",,,,
01/05/2014,"1,923.57", $500.00 , $500.00 ,0.2599,9.7044," $18,667.10 ",,,,
01/06/2014,"1,960.23", $500.00 , $500.00 ,0.2551,9.9595," $19,522.86 ",,,,
01/07/2014,"1,930.67", $500.00 , $500.00 ,0.2590,10.2185," $19,728.46 ",,,,
01/08/2014,"2,003.37", $500.00 , $500.00 ,0.2496,10.4680," $20,971.34 ",,,,
01/09/2014,"1,972.29", $500.00 , $500.00 ,0.2535,10.7215," $21,145.99 ",,,,
01/10/2014,"2,018.05", $500.00 , $500.00 ,0.2478,10.9693," $22,136.61 ",,,,
01/11/2014,"2,067.56", $500.00 , $500.00 ,0.2418,11.2111," $23,179.70 ",,,,
01/12/2014,"2,058.90", $500.00 , $500.00 ,0.2428,11.4540," $23,582.61 ",,,,
01/01/2015,"1,994.99", $500.00 , $500.00 ,0.2506,11.7046," $23,350.59 ",,,,
01/02/2015,"2,104.50", $500.00 , $500.00 ,0.2376,11.9422," $25,132.36 ",,,,
01/03/2015,"2,067.89", $500.00 , $500.00 ,0.2418,12.1840," $25,195.16 ",,,,
01/04/2015,"2,085.51", $500.00 , $500.00 ,0.2397,12.4237," $25,909.84 ",,,,
01/05/2015,"2,107.39", $500.00 , $500.00 ,0.2373,12.6610," $26,681.67 ",,,,
01/06/2015,"2,063.11", $500.00 , $500.00 ,0.2424,12.9034," $26,621.04 ",,,,
01/07/2015,"2,103.84", $500.00 , $500.00 ,0.2377,13.1410," $27,646.59 ",,,,
01/08/2015,"1,972.18", $500.00 , $500.00 ,0.2535,13.3945," $26,416.45 ",,,,
01/09/2015,"1,920.03", $500.00 , $500.00 ,0.2604,13.6550," $26,217.92 ",,,,
01/10/2015,"2,079.36", $500.00 , $500.00 ,0.2405,13.8954," $28,893.57 ",,,,
01/11/2015,"2,080.41", $500.00 , $500.00 ,0.2403,14.1358," $29,408.16 ",,,,
01/12/2015,"2,043.94", $500.00 , $500.00 ,0.2446,14.3804," $29,392.63 ",,,,
01/01/2016,"1,940.24", $500.00 , $500.00 ,0.2577,14.6381," $28,401.38 ",,,,
01/02/2016,"1,932.23", $500.00 , $500.00 ,0.2588,14.8968," $28,784.13 ",,,,
01/03/2016,"2,059.74", $500.00 , $500.00 ,0.2427,15.1396," $31,183.63 ",,,,
01/04/2016,"2,065.30", $500.00 , $500.00 ,0.2421,15.3817," $31,767.80 ",,,,
01/05/2016,"2,096.96", $500.00 , $500.00 ,0.2384,15.6201," $32,754.79 ",,,,
01/06/2016,"2,098.86", $500.00 , $500.00 ,0.2382,15.8584," $33,284.47 ",,,,
01/07/2016,"2,173.60", $500.00 , $500.00 ,0.2300,16.0884," $34,969.72 ",,,,
01/08/2016,"2,170.95", $500.00 , $500.00 ,0.2303,16.3187," $35,427.09 ",,,,
01/09/2016,"2,168.27", $500.00 , $500.00 ,0.2306,16.5493," $35,883.35 ",,,,
01/10/2016,"2,126.15", $500.00 , $500.00 ,0.2352,16.7845," $35,686.29 ",,,,
01/11/2016,"2,198.81", $500.00 , $500.00 ,0.2274,17.0119," $37,405.85 ",,,,
01/12/2016,"2,238.83", $500.00 , $500.00 ,0.2233,17.2352," $38,586.67 ",,,,
01/01/2017,"2,278.87", $500.00 , $500.00 ,0.2194,17.4546," $39,776.77 ",,,,
01/02/2017,"2,363.64", $500.00 , $500.00 ,0.2115,17.6661," $41,756.39 ",,,,
01/03/2017,"2,362.72", $500.00 , $500.00 ,0.2116,17.8778," $42,240.14 ",,,,
01/04/2017,"2,384.20", $500.00 , $500.00 ,0.2097,18.0875," $43,124.15 ",,,,
01/05/2017,"2,411.80", $500.00 , $500.00 ,0.2073,18.2948," $44,123.37 ",,,,
01/06/2017,"2,423.41", $500.00 , $500.00 ,0.2063,18.5011," $44,835.77 ",,,,
01/07/2017,"2,470.30", $500.00 , $500.00 ,0.2024,18.7035," $46,203.29 ",,,,
01/08/2017,"2,471.65", $500.00 , $500.00 ,0.2023,18.9058," $46,728.54 ",,,,
01/09/2017,"2,519.36", $500.00 , $500.00 ,0.1985,19.1043," $48,130.53 ",,,,
01/10/2017,"2,575.26", $500.00 , $500.00 ,0.1942,19.2984," $49,698.46 ",,,,
01/11/2017,"2,647.58", $500.00 , $500.00 ,0.1889,19.4873," $51,594.12 ",,,,
01/12/2017,"2,673.61", $500.00 , $500.00 ,0.1870,19.6743," $52,601.38 ",,,,
01/01/2018,"2,823.81", $500.00 , $500.00 ,0.1771,19.8514," $56,056.46 ",,,,
01/02/2018,"2,713.83", $500.00 , $500.00 ,0.1842,20.0356," $54,373.20 ",,,,
01/03/2018,"2,640.87", $500.00 , $500.00 ,0.1893,20.2249," $53,411.41 ",,,,
01/04/2018,"2,648.05", $500.00 , $500.00 ,0.1888,20.4137," $54,056.62 ",,,,
01/05/2018,"2,705.27", $500.00 , $500.00 ,0.1848,20.5986," $55,724.70 ",,,,
01/06/2018,"2,718.37", $500.00 , $500.00 ,0.1839,20.7825," $56,494.54 ",,,,
01/07/2018,"2,816.29", $500.00 , $500.00 ,0.1775,20.9600," $59,029.56 ",,,,
01/08/2018,"2,901.52", $500.00 , $500.00 ,0.1723,21.1324," $61,315.99 ",,,,
01/09/2018,"2,913.98", $500.00 , $500.00 ,0.1716,21.3040," $62,079.29 ",,,,
01/10/2018,"2,711.74", $500.00 , $500.00 ,0.1844,21.4883," $58,270.78 ",,,,
01/11/2018,"2,760.17", $500.00 , $500.00 ,0.1811,21.6695," $59,811.46 ",,,,
01/12/2018,"2,506.85", $500.00 , $500.00 ,0.1995,21.8689," $54,822.15 ",,,,
