Date,Price
1789-05-31,0.51
1789-06-30,0.51
1789-07-31,0.5
1789-08-31,0.51
1789-09-30,0.51
1789-10-31,0.51
1789-11-30,0.5
1789-12-31,0.5
1790-01-31,0.49
1790-02-28,0.49
1790-03-31,0.5
1790-04-30,0.5
1790-05-31,0.52
1790-06-30,0.53
1790-07-31,0.53
1790-08-31,0.54
1790-09-30,0.55
1790-10-31,0.56
1790-11-30,0.55
1790-12-31,0.57
1791-01-31,0.58
1791-02-28,0.59
1791-03-31,0.59
1791-04-30,0.6
1791-05-31,0.6
1791-06-30,0.6
1791-07-31,0.6
1791-08-31,0.61
1791-09-30,0.62
1791-10-31,0.62
1791-11-30,0.62
1791-12-31,0.63
1792-01-31,0.63
1792-02-29,0.62
1792-03-31,0.62
1792-04-30,0.62
1792-05-31,0.59
1792-06-30,0.58
1792-07-31,0.57
1792-08-31,0.57
1792-09-30,0.56
1792-10-31,0.54
1792-11-30,0.54
1792-12-31,0.54
1793-01-31,0.55
1793-02-28,0.57
1793-03-31,0.58
1793-04-30,0.59
1793-05-31,0.59
1793-06-30,0.6
1793-07-31,0.6
1793-08-31,0.6
1793-09-30,0.6
1793-10-31,0.61
1793-11-30,0.61
1793-12-31,0.62
1794-01-31,0.63
1794-02-28,0.64
1794-03-31,0.66
1794-04-30,0.66
1794-05-31,0.68
1794-06-30,0.7
1794-07-31,0.71
1794-08-31,0.73
1794-09-30,0.74
1794-10-31,0.74
1794-11-30,0.76
1794-12-31,0.76
1795-01-31,0.76
1795-02-28,0.78
1795-03-31,0.77
1795-04-30,0.78
1795-05-31,0.78
1795-06-30,0.78
1795-07-31,0.77
1795-08-31,0.77
1795-09-30,0.75
1795-10-31,0.75
1795-11-30,0.74
1795-12-31,0.73
1796-01-31,0.73
1796-02-29,0.72
1796-03-31,0.71
1796-04-30,0.71
1796-05-31,0.7
1796-06-30,0.67
1796-07-31,0.67
1796-08-31,0.66
1796-09-30,0.65
1796-10-31,0.65
1796-11-30,0.64
1796-12-31,0.63
1797-01-31,0.63
1797-02-28,0.63
1797-03-31,0.62
1797-04-30,0.62
1797-05-31,0.61
1797-06-30,0.61
1797-07-31,0.61
1797-08-31,0.6
1797-09-30,0.59
1797-10-31,0.58
1797-11-30,0.58
1797-12-31,0.58
1798-01-31,0.57
1798-02-28,0.58
1798-03-31,0.59
1798-04-30,0.6
1798-05-31,0.61
1798-06-30,0.62
1798-07-31,0.63
1798-08-31,0.65
1798-09-30,0.67
1798-10-31,0.68
1798-11-30,0.68
1798-12-31,0.69
1799-01-31,0.69
1799-02-28,0.71
1799-03-31,0.71
1799-04-30,0.72
1799-05-31,0.73
1799-06-30,0.73
1799-07-31,0.74
1799-08-31,0.74
1799-09-30,0.74
1799-10-31,0.76
1799-11-30,0.77
1799-12-31,0.79
1800-01-31,0.8
1800-02-28,0.8
1800-03-31,0.85
1800-04-30,0.89
1800-05-31,0.9
1800-06-30,0.92
1800-07-31,0.94
1800-08-31,0.96
1800-09-30,1.0
1800-10-31,1.01
1800-11-30,1.01
1800-12-31,1.0
1801-01-31,0.98
1801-02-28,0.96
1801-03-31,0.91
1801-04-30,0.88
1801-05-31,0.84
1801-06-30,0.81
1801-07-31,0.77
1801-08-31,0.74
1801-09-30,0.71
1801-10-31,0.68
1801-11-30,0.65
1801-12-31,0.63
1802-01-31,0.59
1802-02-28,0.6
1802-03-31,0.6
1802-04-30,0.6
1802-05-31,0.61
1802-06-30,0.61
1802-07-31,0.62
1802-08-31,0.62
1802-09-30,0.63
1802-10-31,0.64
1802-11-30,0.65
1802-12-31,0.65
1803-01-31,0.66
1803-02-28,0.67
1803-03-31,0.68
1803-04-30,0.7
1803-05-31,0.71
1803-06-30,0.71
1803-07-31,0.71
1803-08-31,0.72
1803-09-30,0.72
1803-10-31,0.73
1803-11-30,0.74
1803-12-31,0.75
1804-01-31,0.77
1804-02-29,0.8
1804-03-31,0.83
1804-04-30,0.86
1804-05-31,0.89
1804-06-30,0.93
1804-07-31,0.96
1804-08-31,1.01
1804-09-30,1.06
1804-10-31,1.08
1804-11-30,1.09
1804-12-31,1.11
1805-01-31,1.14
1805-02-28,1.12
1805-03-31,1.12
1805-04-30,1.11
1805-05-31,1.11
1805-06-30,1.12
1805-07-31,1.11
1805-08-31,1.1
1805-09-30,1.09
1805-10-31,1.09
1805-11-30,1.09
1805-12-31,1.1
1806-01-31,1.11
1806-02-28,1.15
1806-03-31,1.19
1806-04-30,1.21
1806-05-31,1.17
1806-06-30,1.24
1806-07-31,1.26
1806-08-31,1.3
1806-09-30,1.29
1806-10-31,1.26
1806-11-30,1.24
1806-12-31,1.2
1807-01-31,1.17
1807-02-28,1.11
1807-03-31,1.03
1807-04-30,0.97
1807-05-31,0.91
1807-06-30,0.86
1807-07-31,0.81
1807-08-31,0.65
1807-09-30,0.72
1807-10-31,0.69
1807-11-30,0.66
1807-12-31,0.65
1808-01-31,0.65
1808-02-29,0.66
1808-03-31,0.67
1808-04-30,0.69
1808-05-31,0.71
1808-06-30,0.74
1808-07-31,0.77
1808-08-31,0.79
1808-09-30,0.83
1808-10-31,0.86
1808-11-30,0.89
1808-12-31,0.9
1809-01-31,0.94
1809-02-28,0.97
1809-03-31,1.0
1809-04-30,1.01
1809-05-31,1.03
1809-06-30,1.07
1809-07-31,1.11
1809-08-31,1.13
1809-09-30,1.15
1809-10-31,1.17
1809-11-30,1.19
1809-12-31,1.19
1810-01-31,1.18
1810-02-28,1.18
1810-03-31,1.17
1810-04-30,1.16
1810-05-31,1.16
1810-06-30,1.15
1810-07-31,1.13
1810-08-31,1.15
1810-09-30,1.06
1810-10-31,1.05
1810-11-30,1.04
1810-12-31,1.02
1811-01-31,1.0
1811-02-28,1.01
1811-03-31,1.02
1811-04-30,1.03
1811-05-31,1.05
1811-06-30,1.06
1811-07-31,1.08
1811-08-31,1.06
1811-09-30,1.03
1811-10-31,1.01
1811-11-30,0.99
1811-12-31,0.93
1812-01-31,0.96
1812-02-29,0.93
1812-03-31,0.9
1812-04-30,0.89
1812-05-31,0.88
1812-06-30,0.84
1812-07-31,0.83
1812-08-31,0.81
1812-09-30,0.81
1812-10-31,0.8
1812-11-30,0.8
1812-12-31,0.8
1813-01-31,0.8
1813-02-28,0.81
1813-03-31,0.81
1813-04-30,0.81
1813-05-31,0.81
1813-06-30,0.81
1813-07-31,0.82
1813-08-31,0.83
1813-09-30,0.83
1813-10-31,0.84
1813-11-30,0.86
1813-12-31,0.89
1814-01-31,0.96
1814-02-28,1.01
1814-03-31,1.08
1814-04-30,1.14
1814-05-31,1.18
1814-06-30,1.22
1814-07-31,1.3
1814-08-31,1.35
1814-09-30,1.43
1814-10-31,1.45
1814-11-30,1.47
1814-12-31,1.48
1815-01-31,1.48
1815-02-28,1.49
1815-03-31,1.5
1815-04-30,1.51
1815-05-31,1.51
1815-06-30,1.52
1815-07-31,1.54
1815-08-31,1.55
1815-09-30,1.56
1815-10-31,1.57
1815-11-30,1.56
1815-12-31,1.56
1816-01-31,1.55
1816-02-29,1.55
1816-03-31,1.54
1816-04-30,1.54
1816-05-31,1.54
1816-06-30,1.52
1816-07-31,1.5
1816-08-31,1.49
1816-09-30,1.49
1816-10-31,1.49
1816-11-30,1.5
1816-12-31,1.5
1817-01-31,1.47
1817-02-28,1.52
